ಹೊಮ್ಮರ,ೊಮ್ಮರ
ಹೊಪ್ಪೆ,ೊಪ್ಪೆ
ಹಾಡಬಲ್ಲ,ಾಡಬಲ್ಲ
ಹೇಮಾಂಬರ,ೇಮಾಂಬರ
ಹಿನ್ದಿನವರು,ಿನ್ದಿನವರು
ಹಸುಳೆಗಳು,ಸುಳೆಗಳು
ಹೆಜ್ಜೆಯಿಟ್ಟ,ೆಜ್ಜೆಯಿಟ್ಟ
ಹಾಸಗಳು,ಾಸಗಳು
ಹುಚ್ಚಾಸ್ಪತ್ರೆಗಳು,ುಚ್ಚಾಸ್ಪತ್ರೆಗಳು
ಹಿನ್ದೆಬೀಳು,ಿನ್ದೆಬೀಳು
ಹೆಣ್ಣುದುಂಬಿಗಳು,ೆಣ್ಣುದುಂಬಿಗಳು
ಹೃದಯವನ್ತಿಕೆ,ೃದಯವನ್ತಿಕೆ
ಹೊನ್ದುತ್ತ,ೊನ್ದುತ್ತ
ಹಾಯೆನಿಸುತ್ತದೆ,ಾಯೆನಿಸುತ್ತದೆ
ಹಿತೇಚ್ಚು,ಿತೇಚ್ಚು
ಹೆಜ್ಜೆಹಾಸಿ,ೆಜ್ಜೆಹಾಸಿ
ಹೋದರು.,ೋದರು.
ಹುಣಿಚಿ,ುಣಿಚಿ
ಹುಲಿಗಿಲಿಗಳು,ುಲಿಗಿಲಿಗಳು
ಹಠಾತ್ತನೆಯ,ಠಾತ್ತನೆಯ
ಹೊಂತುಗಾರಿಕೆ,ೊಂತುಗಾರಿಕೆ
ಹಸುಗೂಸಿನ,ಸುಗೂಸಿನ
ಹವ್ಯಾಸಿತನ,ವ್ಯಾಸಿತನ
ಹಣಾಭಾವ,ಣಾಭಾವ
ಹೊದಿಕೆಯಿಲ್ಲದಿರುವಿಕೆ,ೊದಿಕೆಯಿಲ್ಲದಿರುವಿಕೆ
ಹುರಿಗಡಲೆ,ುರಿಗಡಲೆ
ಹರಿಪಾದೋದಕಗಳು,ರಿಪಾದೋದಕಗಳು
ಹಿಮದಾಮಗಳು,ಿಮದಾಮಗಳು
ಹಾರುಗೂಳು,ಾರುಗೂಳು
ಹೊಯಲುಗಳು,ೊಯಲುಗಳು
ಹಿಗ್ಗುಪಟ್ಟಿ,ಿಗ್ಗುಪಟ್ಟಿ
ಹುಡಿಮಾತು,ುಡಿಮಾತು
ಹಸ್ತತ್ರಾಣಗಳು,ಸ್ತತ್ರಾಣಗಳು
ಹಾಡು,ಭಾಷಣವನ್ನು,ಾಡು,ಭಾಷಣವನ್ನು
ಹೈನೋದ್ಯಮ,ೈನೋದ್ಯಮ
ಹೊತ್ತಗೆಯನ್ನು,ೊತ್ತಗೆಯನ್ನು
ಹೊಙ್ಗಡಲುಗಳು,ೊಙ್ಗಡಲುಗಳು
ಹರಿಗಿರಿಗಳು,ರಿಗಿರಿಗಳು
ಹವಿರ್ಭಾಗ,ವಿರ್ಭಾಗ
ಹಲ್ಲನ್ನು,ಲ್ಲನ್ನು
ಹೆಮ್ಮೆಕ್ಕೆ,ೆಮ್ಮೆಕ್ಕೆ
ಹೆಮ್ಮಿಗಿಲು,ೆಮ್ಮಿಗಿಲು
ಹಾಕದಿರುವ,ಾಕದಿರುವ
ಹಿಣ್ಡಿಕೆಗಳು,ಿಣ್ಡಿಕೆಗಳು
ಹೊರಸೂರು,ೊರಸೂರು
ಹೊರುವ,ೊರುವ
ಹಡಗಿನಪಟ,ಡಗಿನಪಟ
ಹರಿಮುಕ,ರಿಮುಕ
ಹಿಂಡುವಿಕೆಗಳು,ಿಂಡುವಿಕೆಗಳು
ಹೊರಯಿಕೆ,ೊರಯಿಕೆ
ಹಾದರದ,ಾದರದ
ಹೋತಾರರು,ೋತಾರರು
ಹಸಗೊಳ್ಳು,ಸಗೊಳ್ಳು
ಹೈಮಂತ,ೈಮಂತ
ಹಸ್ತಾಲಂಕಾರಗಳು,ಸ್ತಾಲಂಕಾರಗಳು
ಹರೆಕಾರ,ರೆಕಾರ
ಹೊಯ್ಚೆಣ್ಡು,ೊಯ್ಚೆಣ್ಡು
ಹೊಲಸುದೋರು,ೊಲಸುದೋರು
ಹರ್ಷೋತ್ಕರ್ಷ,ರ್ಷೋತ್ಕರ್ಷ
ಹೃದಯ,ೃದಯ
ಹೋಟೆಲಿನಲ್ಲಿ,ೋಟೆಲಿನಲ್ಲಿ
ಹೇವರಿಸುವ,ೇವರಿಸುವ
ಹೊಳೆಮತ್ತಿ,ೊಳೆಮತ್ತಿ
ಹೊಂದಿಕೆಗೊಳಿಸುವುದು,ೊಂದಿಕೆಗೊಳಿಸುವುದು
ಹೊನಗೊನೆ,ೊನಗೊನೆ
ಹತಬಲಗಳು,ತಬಲಗಳು
ಹೆಳೆ,ೆಳೆ
ಹೊಂದಿರುವ,ೊಂದಿರುವ
ಹೊಗಳುಬಟ,ೊಗಳುಬಟ
ಹಂತತನ,ಂತತನ
ಹಾಸಙ್ಗಿ,ಾಸಙ್ಗಿ
ಹಿನ್ನುಡಿ,ಿನ್ನುಡಿ
ಹಣಾಭಾವಗಳು,ಣಾಭಾವಗಳು
ಹೂತಿಡು,ೂತಿಡು
ಹಿಣಿ,ಿಣಿ
ಹೆಪ್ಪುವ,ೆಪ್ಪುವ
ಹತ್ತುರತ,ತ್ತುರತ
ಹೂರಣದೊಡೆ,ೂರಣದೊಡೆ
ಹೊರಹೊಮ್ಮಿಕೆ,ೊರಹೊಮ್ಮಿಕೆ
ಹೆಬ್ಬುಡ,ೆಬ್ಬುಡ
ಹೂಡುವನ್ಥದು,ೂಡುವನ್ಥದು
ಹೊಸಚಿಗುರು,,ೊಸಚಿಗುರು,
ಹೊರೆಯಾದವನು,ೊರೆಯಾದವನು
ಹೊಡೆತವಿಲ್ಲದಿರುವುದು,ೊಡೆತವಿಲ್ಲದಿರುವುದು
ಹರಟೆಮಲ್ಲ,ರಟೆಮಲ್ಲ
ಹರಿತೋಪಲ,ರಿತೋಪಲ
ಹಾಕುವ,ಾಕುವ
ಹನ್ದಿದಾಟು,ನ್ದಿದಾಟು
ಹಿನ್ದುಳಿ,ಿನ್ದುಳಿ
ಹುಲುಕಪಿಗಳು,ುಲುಕಪಿಗಳು
ಹಿಂಸಂಕರಣ,ಿಂಸಂಕರಣ
ಹೊಮ್ಬೆಳಕುಗಳು,ೊಮ್ಬೆಳಕುಗಳು
ಹುದುಗಿರುವ,ುದುಗಿರುವ
ಹೊದರು+,ೊದರು+
ಹಲ್ಲಿಗಳು,ಲ್ಲಿಗಳು
ಹಾಲುಗಮ್ಬ,ಾಲುಗಮ್ಬ
ಹಿನ್ನೀರನ್ನು,ಿನ್ನೀರನ್ನು
ಹೊಂಬಸಿರುಗಳು,ೊಂಬಸಿರುಗಳು
ಹೊಣೆಗೊಳ್,ೊಣೆಗೊಳ್
ಹಿನ್ದೂಡಿಕೆ,ಿನ್ದೂಡಿಕೆ
ಹಸಿರುಗಳು,ಸಿರುಗಳು
ಹೊರಟುಹೋಗು,ೊರಟುಹೋಗು
ಹುಚ್ಚ,ುಚ್ಚ
ಹಕ್ಕರಿಗೆ,ಕ್ಕರಿಗೆ
ಹರದಿನ,ರದಿನ
ಹೊತ್ತಾದರೂ,ೊತ್ತಾದರೂ
ಹಿಮ್ಬಗಲು,ಿಮ್ಬಗಲು
ಹವ್ಯಕರು,ವ್ಯಕರು
ಹೊಂಬುರ್ಚ,ೊಂಬುರ್ಚ
ಹೋತುಗಳು,ೋತುಗಳು
ಹಾರುವಲೆ,ಾರುವಲೆ
ಹೊಯಿ,ೊಯಿ
ಹೊಳಕೆಗಾರ,ೊಳಕೆಗಾರ
ಹಿಟ್ಟಂತಹ,ಿಟ್ಟಂತಹ
ಹಕ್ಕೆದೆಲೆ,ಕ್ಕೆದೆಲೆ
ಹದುಳಿರಿಸು,ದುಳಿರಿಸು
ಹೊರಚೆಲ್ಲು,ೊರಚೆಲ್ಲು
ಹೇಸದವ,ೇಸದವ
ಹೂಚೆಂಡುಗಳು,ೂಚೆಂಡುಗಳು
ಹೊಕ್ಕು,ೊಕ್ಕು
ಹವೆಯಳವುಗಳು,ವೆಯಳವುಗಳು
ಹೊರಗುಣ್ಡಿ,ೊರಗುಣ್ಡಿ
ಹೊಕ್ಕುಒಳಗುಗಳು,ೊಕ್ಕುಒಳಗುಗಳು
ಹುಬ್ಬುಗಣ್ಟು,ುಬ್ಬುಗಣ್ಟು
ಹೇಳಿಕೇಳಿದ,ೇಳಿಕೇಳಿದ
ಹುಸಿನಗೆ,ುಸಿನಗೆ
ಹೊರುವವನು,ೊರುವವನು
ಹೆಡೆಯಾಕಾರದ,ೆಡೆಯಾಕಾರದ
ಹಾಡುಕಟ್ಟುಗರು,ಾಡುಕಟ್ಟುಗರು
ಹುಳಿಮೊಸರುಗಳು,ುಳಿಮೊಸರುಗಳು
ಹೆಡೆಮುರಿಗೆ,ೆಡೆಮುರಿಗೆ
ಹಾಕಿಟ್ಟಿರುವ,ಾಕಿಟ್ಟಿರುವ
ಹಿಮಾಂಶು,,ಿಮಾಂಶು,
ಹಟ್ಟಿಹಕ್ಕಲುಗಳು,ಟ್ಟಿಹಕ್ಕಲುಗಳು
ಹಲಮಂದಿಯುಳ್ಳ,ಲಮಂದಿಯುಳ್ಳ
ಹಿರಿಯರಸಿ,ಿರಿಯರಸಿ
ಹೊಟ್ಟೆಗಳು,ೊಟ್ಟೆಗಳು
ಹರಿವು,ರಿವು
ಹೇರಳೆ,ೇರಳೆ
ಹಿರೀಚಲು,ಿರೀಚಲು
ಹುರುದುಂಬುವಿಕೆ,ುರುದುಂಬುವಿಕೆ
ಹೂಬಿಡದ,ೂಬಿಡದ
ಹೊಡಹೊಮ್ಮು,ೊಡಹೊಮ್ಮು
ಹೆಡೆಗಳ್ಳಿ,ೆಡೆಗಳ್ಳಿ
ಹಿಮಧಾಮ,ಿಮಧಾಮ
ಹೋದೆವು,ೋದೆವು
ಹುಳಿದ್ರಾವಕ,ುಳಿದ್ರಾವಕ
ಹೇಮಗಣ್ಣ,ೇಮಗಣ್ಣ
ಹರಿಹಲಗೆಗಳು,ರಿಹಲಗೆಗಳು
ಹುತಗಳು,ುತಗಳು
ಹೋಗಲಾಡಿಸಿಕೊಳ್ಳು,ೋಗಲಾಡಿಸಿಕೊಳ್ಳು
ಹೊಕ್ಕುಳ್,ೊಕ್ಕುಳ್
ಹೆತ್ತೇಗು,ೆತ್ತೇಗು
ಹೇರಂಭರು,ೇರಂಭರು
ಹಂದಿಯಾಕಾರದ,ಂದಿಯಾಕಾರದ
ಹೊಸಗನ್ನಡಗಳು,ೊಸಗನ್ನಡಗಳು
ಹೊಲೆಗುಡಿತಿ,ೊಲೆಗುಡಿತಿ
ಹೊಡಗೆಡಹು,ೊಡಗೆಡಹು
ಹುಳಿಸು,ುಳಿಸು
ಹೊಂಬೆಳಗು,ೊಂಬೆಳಗು
ಹಿಡಿದಿರುವುದು,ಿಡಿದಿರುವುದು
ಹೊರಪಾರ್ಶ್ವ,ೊರಪಾರ್ಶ್ವ
ಹೆಡಮುರಿಕೆ,ೆಡಮುರಿಕೆ
ಹರಿಯದೆ,ರಿಯದೆ
ಹಿಮ್ಬರುವ,ಿಮ್ಬರುವ
ಹೇಳಿ,ೇಳಿ
ಹುರುಡಿನ,ುರುಡಿನ
ಹಲಬೆ,ಲಬೆ
ಹೆಗಲೇರಿದ,ೆಗಲೇರಿದ
ಹೆಂಟೆಗೊಡತಿ,ೆಂಟೆಗೊಡತಿ
ಹಣ್ಣಿನಿಂದ,ಣ್ಣಿನಿಂದ
ಹರಹುಗಳು,ರಹುಗಳು
ಹೆಗಲಬುಟ್ಟಿಗಳು,ೆಗಲಬುಟ್ಟಿಗಳು
ಹಲಕು,ಲಕು
ಹಸುಬ,ಸುಬ
ಹಣಪಡೆ,ಣಪಡೆ
ಹಾಸುಗೊಳ್,ಾಸುಗೊಳ್
ಹೇವರ,ೇವರ
ಹೊಳ್ಳುಕಾಣ್ಕೆಗಳು,ೊಳ್ಳುಕಾಣ್ಕೆಗಳು
ಹೈದರಾಬಾದ್,ೈದರಾಬಾದ್
ಹೊರಬಾಗಲು,ೊರಬಾಗಲು
ಹೆರ‍್ಮಣೆ,ೆರ‍್ಮಣೆ
ಹಿಡಿಗುಂಡುಗಳು,ಿಡಿಗುಂಡುಗಳು
ಹಾಯಿಬಿಡುವ,ಾಯಿಬಿಡುವ
ಹಿಂಸೆಗೊಳಿಸು,,ಿಂಸೆಗೊಳಿಸು,
ಹಸ್ತನೀಡು,ಸ್ತನೀಡು
ಹೆಪ್ನೀರು,ೆಪ್ನೀರು
ಹೊರಕಾಲ್ಗೊಳು,ೊರಕಾಲ್ಗೊಳು
ಹೊಂಗ್ಯಾದಿಗೆಗಳು,ೊಂಗ್ಯಾದಿಗೆಗಳು
ಹುಲಿಹುಲಿಸು,ುಲಿಹುಲಿಸು
ಹಿಡಿದಿರು,ಿಡಿದಿರು
ಹುಟ್ಟಿದುದೆಂದು,ುಟ್ಟಿದುದೆಂದು
ಹುೞು,ುೞು
ಹಾಲ್ಕೊಡಗಳು,ಾಲ್ಕೊಡಗಳು
ಹೊರಳುವುದು,ೊರಳುವುದು
ಹೊಙ್ಗೆಯೆಣ್ಣೆ,ೊಙ್ಗೆಯೆಣ್ಣೆ
ಹೆಗ್ಗತ್ತು,ೆಗ್ಗತ್ತು
ಹೆಸರಾದ,ೆಸರಾದ
ಹಾರುವಿಕೆಗಳು,ಾರುವಿಕೆಗಳು
ಹೊಳಪುಗುಂದು,ೊಳಪುಗುಂದು
ಹ್ರಾಸ,್ರಾಸ
ಹೀಗಿದ್ದರೆ,ೀಗಿದ್ದರೆ
ಹೊರಗುನ್ದಿದ,ೊರಗುನ್ದಿದ
ಹಿನ್ದಿರುಗಿಸಿದ,ಿನ್ದಿರುಗಿಸಿದ
ಹೈದ,ೈದ
ಹೆಂಗುಸು,ೆಂಗುಸು
ಹುಲುಗಲ,ುಲುಗಲ
ಹಾಜರಾಗಲು,ಾಜರಾಗಲು
ಹತೋಟಿಯ,ತೋಟಿಯ
ಹಾಗೂ,ಾಗೂ
ಹರಟೆಹೊಡೆ,ರಟೆಹೊಡೆ
ಹಳದಿಬಟ್ಟೆ,ಳದಿಬಟ್ಟೆ
ಹೊರಗೆಡುವ,ೊರಗೆಡುವ
ಹಾಸುಹೊಯ್ಯು,ಾಸುಹೊಯ್ಯು
ಹ್ಯಾಙ್ಗರುಗಳು,್ಯಾಙ್ಗರುಗಳು
ಹರಿಯುವ,ರಿಯುವ
ಹುಕ್‍ಗಾರ,ುಕ್‍ಗಾರ
ಹುದುಲು,ುದುಲು
ಹಿತಸಾಧನೆಗೆ,ಿತಸಾಧನೆಗೆ
ಹೂಗಳಿಂದ,ೂಗಳಿಂದ
ಹದಿನಾಲ್ಕರಿಂದ,ದಿನಾಲ್ಕರಿಂದ
ಹನಸುಗಳು,ನಸುಗಳು
ಹೆಚ್ಚಾಗಿರುವುದು,ೆಚ್ಚಾಗಿರುವುದು
ಹೊರವಾಗಿ,ೊರವಾಗಿ
ಹಿತೇಚ್ಛು,ಿತೇಚ್ಛು
ಹೆರಿಗೆಯರಿಮೆ,ೆರಿಗೆಯರಿಮೆ
ಹರ್ಷಗೊಳಿಸು,ರ್ಷಗೊಳಿಸು
ಹರಿಸುಗಗಳು,ರಿಸುಗಗಳು
ಹೆಚ್ಚಾಗುವುದಕ್ಕೆ,ೆಚ್ಚಾಗುವುದಕ್ಕೆ
ಹಬ್ಬ,,ಬ್ಬ,
ಹಂಬಲಿಸುವ,ಂಬಲಿಸುವ
ಹಲವರಿದ್ದಾರೆ,ಲವರಿದ್ದಾರೆ
ಹಾತೊರೆಯುತ್ತಿರುವ,ಾತೊರೆಯುತ್ತಿರುವ
ಹಮ್ಮಯಿಸಿ,ಮ್ಮಯಿಸಿ
ಹಸಿವಾಳೆ,ಸಿವಾಳೆ
ಹಗೆಗಾರ,ಗೆಗಾರ
ಹಿಸಕು,ಿಸಕು
ಹಿಡಿಕಲಗಳು,ಿಡಿಕಲಗಳು
ಹಸನಾಗಿದೆ,ಸನಾಗಿದೆ
ಹೊಸನ್ತಿಲ್,ೊಸನ್ತಿಲ್
ಹರ್ಷಗರ್ಬಗಳು,ರ್ಷಗರ್ಬಗಳು
ಹುಲಿಯ,ುಲಿಯ
ಹೂಳಿದೆಡೆ,ೂಳಿದೆಡೆ
ಹುಗಿಸು,ುಗಿಸು
ಹುಸಿನುಡಿ,ುಸಿನುಡಿ
ಹೇರಳವಾಗಿ,ೇರಳವಾಗಿ
ಹೊಣೆಯಾಗಿಸು,ೊಣೆಯಾಗಿಸು
ಹೋಳಾಗುವಂತೆ,ೋಳಾಗುವಂತೆ
ಹುಲ್ಕಿಗಳು,ುಲ್ಕಿಗಳು
ಹೊಗರುಗಿಡಿ,ೊಗರುಗಿಡಿ
ಹಟ್ಟಿಗಾಳೆಗ,ಟ್ಟಿಗಾಳೆಗ
ಹೊದಪುಗಳು,ೊದಪುಗಳು
ಹಾಲೂಡಿ,ಾಲೂಡಿ
ಹಿಗ್ಗಣೆಗಳು,ಿಗ್ಗಣೆಗಳು
ಹೋಗುತ್ತಿದ್ದಿಯಲ್ಲಾ.,ೋಗುತ್ತಿದ್ದಿಯಲ್ಲಾ.
ಹಿಡಿದಿಡುವ,ಿಡಿದಿಡುವ
ಹುಳು\,ುಳು\
ಹೊಗೆಮರೆ,ೊಗೆಮರೆ
ಹೂದೇರ್,ೂದೇರ್
ಹೆರರ,ೆರರ
ಹಡಪಾಳಿಗಳು,ಡಪಾಳಿಗಳು
ಹೊಂದಿಸುವಿಕೆ,ೊಂದಿಸುವಿಕೆ
ಹೇಸಿಗೆಯುಂಟು,ೇಸಿಗೆಯುಂಟು
ಹೆಸರೇ,ೆಸರೇ
ಹುಸಿದಾಳಿ,ುಸಿದಾಳಿ
ಹುಡೆಯ,ುಡೆಯ
ಹುಲ್ಲೆಯ,ುಲ್ಲೆಯ
ಹೊಂದಾಣಿಕೆಯಾಗು,ೊಂದಾಣಿಕೆಯಾಗು
ಹೊಯ್ದ,ೊಯ್ದ
ಹೋಗಿವೆ,ೋಗಿವೆ
ಹೊಕ್ಕುಳದ,ೊಕ್ಕುಳದ
ಹಗರುಗಳು,ಗರುಗಳು
ಹಲ್ಕಗಳು,ಲ್ಕಗಳು
ಹೊತ್ತುಕಳೆತಗಳು,ೊತ್ತುಕಳೆತಗಳು
ಹಾಲುಗುನ್ನಿ,ಾಲುಗುನ್ನಿ
ಹಲಗಳು,ಲಗಳು
ಹೊರವಡಿಕೆಕೊರೆ,ೊರವಡಿಕೆಕೊರೆ
ಹಱುಗೋಲ್,ಱುಗೋಲ್
ಹುಳಿಯನ್ನ,ುಳಿಯನ್ನ
ಹೊಗೆಹಣ,ೊಗೆಹಣ
ಹುಲ್ಲುಮೈದಾನ,ುಲ್ಲುಮೈದಾನ
ಹಗುರವಾಗಿರುವಿಕೆಗಳು,ಗುರವಾಗಿರುವಿಕೆಗಳು
ಹಿತ್ತಲಿನಲ್ಲಿ,ಿತ್ತಲಿನಲ್ಲಿ
ಹುಟ್ಟುವಾಗಲೇ,ುಟ್ಟುವಾಗಲೇ
ಹುಳಿಗೊಳಿಕೆ,ುಳಿಗೊಳಿಕೆ
ಹಿಗ್ಗುಕೊರೆ,ಿಗ್ಗುಕೊರೆ
ಹಣೆಬಟ್ಟುಗಳು,ಣೆಬಟ್ಟುಗಳು
ಹತ್ತಮಂದಿಗಳು,ತ್ತಮಂದಿಗಳು
ಹುಟ್ಟುಹೊನ್ದುವಬಟ್ಟೆಗಳು,ುಟ್ಟುಹೊನ್ದುವಬಟ್ಟೆಗಳು
ಹಸ್ತಿ,ಸ್ತಿ
ಹೃತ್ತಟ,ೃತ್ತಟ
ಹತಗೊಳಿಸು,ತಗೊಳಿಸು
ಹಿಡಿಕೋಲುಗಳು,ಿಡಿಕೋಲುಗಳು
ಹೊರಡಿಸುವಿಕೆ,ೊರಡಿಸುವಿಕೆ
ಹೆಗ್ಗದಗಳು,ೆಗ್ಗದಗಳು
ಹಯ್ನುಗಳು,ಯ್ನುಗಳು
ಹಿನ್ತೆಗೆದುಕೊ,ಿನ್ತೆಗೆದುಕೊ
ಹಿಂಬಡ್ತಿ,ಿಂಬಡ್ತಿ
ಹಲಸಿನಲ್ಲಿ,ಲಸಿನಲ್ಲಿ
ಹೆಬ್ಬಕ್ಕಿ,ೆಬ್ಬಕ್ಕಿ
ಹೆಜ್ಜೆದಾಪು,ೆಜ್ಜೆದಾಪು
ಹತ್ಯಾಕಾಣ್ಡಗಳು,ತ್ಯಾಕಾಣ್ಡಗಳು
ಹೆಗ್ಗರಿಕೆಗಳು,ೆಗ್ಗರಿಕೆಗಳು
ಹಾಯಿಸುವ,ಾಯಿಸುವ
ಹುಯ್ಲುಗಳು,ುಯ್ಲುಗಳು
ಹಸಿಗಳು,ಸಿಗಳು
ಹೋಬಳಿದಾರ,ೋಬಳಿದಾರ
ಹೆಚ್ಚುಗಾರಿಕೆ,ೆಚ್ಚುಗಾರಿಕೆ
ಹಣಕಾಸಿನ,ಣಕಾಸಿನ
ಹಿಂಸಕನಾದ,ಿಂಸಕನಾದ
ಹಾಳುಕಥೆ,ಾಳುಕಥೆ
ಹೂಲಿಗಿಡ,ೂಲಿಗಿಡ
ಹೊಗೆಬಣ್ಡಿಗಳು,ೊಗೆಬಣ್ಡಿಗಳು
ಹುಟ್ಟುಬಾಗ,ುಟ್ಟುಬಾಗ
ಹೊರಕೆಯ್ಮೆ,ೊರಕೆಯ್ಮೆ
ಹೀನಸ್ಥಿತಿಗಳು,ೀನಸ್ಥಿತಿಗಳು
ಹೆಣ್ಣುಗ,ೆಣ್ಣುಗ
ಹುದುಗಿಸಿಟ್ಟ,ುದುಗಿಸಿಟ್ಟ
ಹಿಗ್ಗ,ಿಗ್ಗ
ಹೃದಯಕಮಲಗಳು,ೃದಯಕಮಲಗಳು
ಹುಣ್ಣಾಗಿದೆ,ುಣ್ಣಾಗಿದೆ
ಹೊಲಸೇಳು,ೊಲಸೇಳು
ಹೊಳ್ಳುನುಡಿ,ೊಳ್ಳುನುಡಿ
ಹೊರಹೊಣ್ಡು,ೊರಹೊಣ್ಡು
ಹೋರಾಶಾಸ್ತ್ರ,ೋರಾಶಾಸ್ತ್ರ
ಹಿಗ್ಗಿತಕೊರೆ,ಿಗ್ಗಿತಕೊರೆ
ಹುಡುಕು,ುಡುಕು
ಹಸುವಿನ,ಸುವಿನ
ಹೇತು,ೇತು
ಹೆಮ್ಮುಗಿಲ್,ೆಮ್ಮುಗಿಲ್
ಹೇಸೇಳ್,ೇಸೇಳ್
ಹೊಳೆ,ೊಳೆ
ಹಂದಿಗ,ಂದಿಗ
ಹಣಕೊಡುಗೆ,ಣಕೊಡುಗೆ
ಹದಿನಾರುಗಳು,ದಿನಾರುಗಳು
ಹರಿಸಿ,ರಿಸಿ
ಹಾವಿಗೆಯಾಳು,ಾವಿಗೆಯಾಳು
ಹಸಿವೆಗೊರೆ,ಸಿವೆಗೊರೆ
ಹರಿತಾಲ,ರಿತಾಲ
ಹಣಮಣಿಹಗಳು,ಣಮಣಿಹಗಳು
ಹರತಾಳ,ರತಾಳ
ಹಾನಿಗೊಳಗಾಗುವ,ಾನಿಗೊಳಗಾಗುವ
ಹಸು,ಸು
ಹಕ್ಕುಳ್ಳನಂಟರುಗಳು,ಕ್ಕುಳ್ಳನಂಟರುಗಳು
ಹರಿತವೂಆದ,ರಿತವೂಆದ
ಹಾಕುತ್ತಿದ್ದ,ಾಕುತ್ತಿದ್ದ
ಹಿಂತಲೆಗಳು,ಿಂತಲೆಗಳು
ಹಿಮ್ಮರಳಿಸು,ಿಮ್ಮರಳಿಸು
ಹೊರಟುಗಳು,ೊರಟುಗಳು
ಹೊಮ್ಮಿಗ,ೊಮ್ಮಿಗ
ಹೊರಪಚ್ಚ,ೊರಪಚ್ಚ
ಹತ್ತಿಬಟ್ಟೆಗಳು,ತ್ತಿಬಟ್ಟೆಗಳು
ಹಸನುಮಾಡು,ಸನುಮಾಡು
ಹಲಗೆಗಳನ್ನು,ಲಗೆಗಳನ್ನು
ಹಾಡಂಗಿಗಳು,ಾಡಂಗಿಗಳು
ಹಞ್ಚಿಬುಲ್ಲು,ಞ್ಚಿಬುಲ್ಲು
ಹೊಳಚಿ,ೊಳಚಿ
ಹೊರಯಿಙ್ಕೆ,ೊರಯಿಙ್ಕೆ
ಹನು,ನು
ಹಾಲುಸುರಿಗೆ,ಾಲುಸುರಿಗೆ
ಹಿಕ್ಕು,ಿಕ್ಕು
ಹೆದ್ದೆರೆಗಳು,ೆದ್ದೆರೆಗಳು
ಹಮ್ಮು,ಮ್ಮು
ಹರ್ಲು,ರ್ಲು
ಹಂದಲೆಗಳು,ಂದಲೆಗಳು
ಹಣಿಗೆಗಳು,ಣಿಗೆಗಳು
ಹೆಣಬಾರ,ೆಣಬಾರ
ಹಿಮಾಚಲ,ಿಮಾಚಲ
ಹರಡು,ರಡು
ಹೋತಾರಗಳು,ೋತಾರಗಳು
ಹುದುಗುವುದು,ುದುಗುವುದು
ಹಿಗ್ಗಿಕಂಡಿರೆ,ಿಗ್ಗಿಕಂಡಿರೆ
ಹಿತಾಕಾಂಕ್ಷಿಗಳು,ಿತಾಕಾಂಕ್ಷಿಗಳು
ಹೊಳೆಗೆ,ೊಳೆಗೆ
ಹಿಡಿಗಯ್,ಿಡಿಗಯ್
ಹಾಲಿವಾಳ,ಾಲಿವಾಳ
ಹಿನ್ದೆಸರಿ,ಿನ್ದೆಸರಿ
ಹುಣ್ಣವೆ,ುಣ್ಣವೆ
ಹುಲಸುಗಳು,ುಲಸುಗಳು
ಹೊನ್ನೊಡಲ,ೊನ್ನೊಡಲ
ಹಾಡುಹಕ್ಕಿಗಳು,ಾಡುಹಕ್ಕಿಗಳು
ಹಲಿತಾಂಶಗಳ,ಲಿತಾಂಶಗಳ
ಹಿಂದಲೆ,ಿಂದಲೆ
ಹನ್ದಿಮುಖದವನು,ನ್ದಿಮುಖದವನು
ಹಗರು,ಗರು
ಹಿತಾರ್ಥಗಳು,ಿತಾರ್ಥಗಳು
ಹಸುತನ,ಸುತನ
ಹೊಟ್ಟೆಯಲ್ಲಿಟ್ಟವನು,ೊಟ್ಟೆಯಲ್ಲಿಟ್ಟವನು
ಹೆಗಂಡನ,ೆಗಂಡನ
ಹರಡುವನ್ತೆ,ರಡುವನ್ತೆ
ಹಂಚುವಾಗ,ಂಚುವಾಗ
ಹಳಮೊರೆ,ಳಮೊರೆ
ಹುಲಗಿಲ್ಗಳು,ುಲಗಿಲ್ಗಳು
ಹುಳುಕು,ುಳುಕು
ಹೋರಟೆ,ೋರಟೆ
ಹೊಲಸುತನಗಳು,ೊಲಸುತನಗಳು
ಹೂಕಟ್ಟು,ೂಕಟ್ಟು
ಹೊಣೆಹಣ,ೊಣೆಹಣ
ಹಿಡಿದುಕೊಳ್ಳು,ಿಡಿದುಕೊಳ್ಳು
ಹಿನ್ದಿಡು,ಿನ್ದಿಡು
ಹೊಂದಾಳೆ,ೊಂದಾಳೆ
ಹೊಮ್ಮಿಞ್ಚುಗಳು,ೊಮ್ಮಿಞ್ಚುಗಳು
ಹಗಲು,ಗಲು
ಹಿನ್ನೆಡೆಗಳು,ಿನ್ನೆಡೆಗಳು
ಹೊತ್ತರಿವು,ೊತ್ತರಿವು
ಹರಿಸುಣ್ಡಲು,ರಿಸುಣ್ಡಲು
ಹೂಡಿದ,ೂಡಿದ
ಹಸನ್ಮುಖ,ಸನ್ಮುಖ
ಹೀರುಕಗಳು,ೀರುಕಗಳು
ಹೊಸದಾಗಿಸುವಿಕೆ,ೊಸದಾಗಿಸುವಿಕೆ
