ಪಾಶವೀಕೃತ್ಯ,ಾಶವೀಕೃತ್ಯ
ಪಚ್ಚಳ,ಚ್ಚಳ
ಪ್ರಣಯಲೀಲೆ,್ರಣಯಲೀಲೆ
ಪಕ್ಷಿಪತಿಗಳು,ಕ್ಷಿಪತಿಗಳು
ಪರಿಣತೆ,ರಿಣತೆ
ಪ್ರಮುಕಾಂಶಗಳು,್ರಮುಕಾಂಶಗಳು
ಪುಷ್ಪಬರಿತ,ುಷ್ಪಬರಿತ
ಪಸುವೊನ್,ಸುವೊನ್
ಪಡಿಪಾನಗಳು,ಡಿಪಾನಗಳು
ಪರಿಮಿತಿ,ರಿಮಿತಿ
ಪೆಂಜಱ,ೆಂಜಱ
ಪರಸು,ರಸು
ಪೆರ್ಬುಲಿ,ೆರ್ಬುಲಿ
ಪಂಗುತೆ,ಂಗುತೆ
ಪ್ರಿಯಂಗುವೃಕ್ಷ,್ರಿಯಂಗುವೃಕ್ಷ
ಪರವಶಗೊಳ್ಳು,ರವಶಗೊಳ್ಳು
ಪ್ರವೃತ್ತಿ,್ರವೃತ್ತಿ
ಪ್ಲವಙ್ಗನಾಯಕ,್ಲವಙ್ಗನಾಯಕ
ಪಿಂಬಕ್ಕ,ಿಂಬಕ್ಕ
ಪೆರ್ಮೊಲೆ,ೆರ್ಮೊಲೆ
ಪಾದದಿನ್ದ,ಾದದಿನ್ದ
ಪಾಯಿದ,ಾಯಿದ
ಪ್ರಜ್ವಲಿಸುವ,್ರಜ್ವಲಿಸುವ
ಪ್ರಚಾರಕ್ಕಾಗಿ,್ರಚಾರಕ್ಕಾಗಿ
ಪುಳಿನ್ದಿ,ುಳಿನ್ದಿ
ಪೇರಿಟ್ಟಿ,ೇರಿಟ್ಟಿ
ಪಠ್ಯಪುಸ್ತಕಗಳು,ಠ್ಯಪುಸ್ತಕಗಳು
ಪಿಷ್ಟ,ಿಷ್ಟ
ಪದನೆರಕೆ,ದನೆರಕೆ
ಪಡತಿ,ಡತಿ
ಪ್ರಹ್ಲಾದನ,್ರಹ್ಲಾದನ
ಪಿಸಲು,ಿಸಲು
ಪಂಬಲ್ಗಳು,ಂಬಲ್ಗಳು
ಪಟ್ಟಾಲಮ್ಮ,ಟ್ಟಾಲಮ್ಮ
ಪೆರಗೇರು,ೆರಗೇರು
ಪ್ರೇಮಾಂಕುರ,್ರೇಮಾಂಕುರ
ಪರಿಯಿಸು,ರಿಯಿಸು
ಪೊತ್ತರ್,ೊತ್ತರ್
ಪ್ರಯೋಗಿಂಚು,್ರಯೋಗಿಂಚು
ಪದಲೋಪಗಳು,ದಲೋಪಗಳು
ಪೊಸಗೆರೆ,ೊಸಗೆರೆ
ಪ್ರತಿವಾದಿಸು,್ರತಿವಾದಿಸು
ಪುಟ್ಟಾಣಿ,ುಟ್ಟಾಣಿ
ಪೊಂಬಕ್ಕಿತೇರ,ೊಂಬಕ್ಕಿತೇರ
ಪಾಮಾಜಿ,ಾಮಾಜಿ
ಪವಣ್,ವಣ್
ಪೋಷಕವಾದ,ೋಷಕವಾದ
ಪನ್ನಙ್ಗ,ನ್ನಙ್ಗ
ಪೈಮಾಸಿ,ೈಮಾಸಿ
ಪಿಡು,ಿಡು
ಪಡ್ಚಗಳು,ಡ್ಚಗಳು
ಪಿತ್ತವೇರಿದ,ಿತ್ತವೇರಿದ
ಪೊದಳ್ಕೆವಡೆ,ೊದಳ್ಕೆವಡೆ
ಪೊದರುಗಳಿಂದಲೂ,ೊದರುಗಳಿಂದಲೂ
ಪೊಂಗನ್ನಡಿ,ೊಂಗನ್ನಡಿ
ಪಿಸುಗುಟ್ಟುತ್ತಿದ್ದರು,ಿಸುಗುಟ್ಟುತ್ತಿದ್ದರು
ಪರಿಸ್ಥಿತಿಗೆ,ರಿಸ್ಥಿತಿಗೆ
ಪುತ್ರರು,ುತ್ರರು
ಪ್ರಿಯ,್ರಿಯ
ಪೂರ್ತ,ೂರ್ತ
ಪೊಂಗಳಶ,ೊಂಗಳಶ
ಪರಿತ್ಯಜಿಸಲ್ಪಟ್ಟವ,ರಿತ್ಯಜಿಸಲ್ಪಟ್ಟವ
ಪರಿಹಾಸಕ,ರಿಹಾಸಕ
ಪೊತ್ತಿಗೆ,ೊತ್ತಿಗೆ
ಪಣ್ಣಾಗು,ಣ್ಣಾಗು
ಪದಜೋಡಣೆಗಳು,ದಜೋಡಣೆಗಳು
ಪರಿಕ್ರಿಯೆ,ರಿಕ್ರಿಯೆ
ಪೆಂಡೆಯಬೇದ,ೆಂಡೆಯಬೇದ
ಪೊಸಂಬಗಳು,ೊಸಂಬಗಳು
ಪಬ್ಬ,ಬ್ಬ
ಪದಿಮೂರ್,ದಿಮೂರ್
ಪೊಱಗೋಟೆ,ೊಱಗೋಟೆ
ಪಾಡಿಯಾವು,ಾಡಿಯಾವು
ಪಡದಿರುವಿಕೆ,ಡದಿರುವಿಕೆ
ಪರ್ವಕಾಲ,ರ್ವಕಾಲ
ಪಾಡುಗಾಯಿ,ಾಡುಗಾಯಿ
ಪಂದು,ಂದು
ಪ್ರೋಕ್ಷಿಸು,್ರೋಕ್ಷಿಸು
ಪೋಲಿಸ,ೋಲಿಸ
ಪಾಷಾಣಮು,ಾಷಾಣಮು
ಪೆಗಲಿಕ್ಕು,ೆಗಲಿಕ್ಕು
ಪೇಚು,ೇಚು
ಪುಳ್ಗಿ,ುಳ್ಗಿ
ಪರಿಶೀಲಿಸುವವನು,ರಿಶೀಲಿಸುವವನು
ಪರಾದೀನಮಾಡು,ರಾದೀನಮಾಡು
ಪದಸಂಗ್ರಹ,ದಸಂಗ್ರಹ
ಪೊಳ್ತುಪೋಗು,ೊಳ್ತುಪೋಗು
ಪಡಙ್ಗು,ಡಙ್ಗು
ಪ್ರಜ್ಞಾಪೂರ್ವಕ,್ರಜ್ಞಾಪೂರ್ವಕ
ಪಾಪೋಸು,ಾಪೋಸು
ಪೇರೋರೆ,ೇರೋರೆ
ಪರಿಧಿಯನ್ನು,ರಿಧಿಯನ್ನು
ಪುನರೇಕೀಕರಣ,ುನರೇಕೀಕರಣ
ಪ್ರತ್ಯೇಕೀಕರಣ,್ರತ್ಯೇಕೀಕರಣ
ಪ್ರತಿದಿನವೂ,್ರತಿದಿನವೂ
ಪ್ರವ್ಢಾವಸ್ಥೆ,್ರವ್ಢಾವಸ್ಥೆ
ಪೆಂಗೊಲೆಯ,ೆಂಗೊಲೆಯ
ಪೀನಲ್‌ಕೋಡು,ೀನಲ್‌ಕೋಡು
ಪೇಚಕ,ೇಚಕ
ಪಾಕ್ಷಿಕ,ಾಕ್ಷಿಕ
ಪಾವತಿಮಾಡು,ಾವತಿಮಾಡು
ಪ್ರಸೂತೆ,್ರಸೂತೆ
ಪೊರೆನೆತ್ತರ್,ೊರೆನೆತ್ತರ್
ಪಡೆವಾತುಗಳು,ಡೆವಾತುಗಳು
ಪೊತ್ತಿಮರ್ಕ್ಕಳ್,ೊತ್ತಿಮರ್ಕ್ಕಳ್
ಪ್ರವಾಸ,್ರವಾಸ
ಪಿಶಾಚಿಯ,ಿಶಾಚಿಯ
ಪ್ರಕಟವಾಗುವುದು,್ರಕಟವಾಗುವುದು
ಪೊದಿಕೆಗಳು,ೊದಿಕೆಗಳು
ಪಂಜೆಯಾಗಿಸು,ಂಜೆಯಾಗಿಸು
ಪೇಷಣಗಳು,ೇಷಣಗಳು
ಪ್ರಾಣಿವಿಜ್ಞಾನ,್ರಾಣಿವಿಜ್ಞಾನ
ಪರಂಪರಾಗತತೆ,ರಂಪರಾಗತತೆ
ಪೋಚಲು,ೋಚಲು
ಪೂರ್ಣಕುಂಭ,ೂರ್ಣಕುಂಭ
ಪ್ರಹೇಲಿಕೆ,್ರಹೇಲಿಕೆ
ಪೊಗರ್,ೊಗರ್
ಪೊಸವಿಸಿಲ್,ೊಸವಿಸಿಲ್
ಪೊನ್ನಲರ್,ೊನ್ನಲರ್
ಪೊಲ್,ೊಲ್
ಪರಿಹಾರಕೊಡು,ರಿಹಾರಕೊಡು
ಪಲಾಂಡು,ಲಾಂಡು
ಪುಲಿಸು,ುಲಿಸು
ಪ್ರತಿಯುದ್ಧ,್ರತಿಯುದ್ಧ
ಪಾರಿಭದ್ರಕ,ಾರಿಭದ್ರಕ
ಪರಿವು,ರಿವು
ಪಡೆತ,ಡೆತ
ಪರಿಭಾಷಾಕೊಶ,ರಿಭಾಷಾಕೊಶ
ಪೌಷ್ಟಿಕಾಂಶ,ೌಷ್ಟಿಕಾಂಶ
ಪತ್ತನಗಳು,ತ್ತನಗಳು
ಪತ್ರಿಕೆಯ,ತ್ರಿಕೆಯ
ಪಿಚಿಕ್,ಿಚಿಕ್
ಪವನಪ,ವನಪ
ಪೊಡೆಸೆಂಡಾಡು,ೊಡೆಸೆಂಡಾಡು
ಪೃತಕ್ಕಾದುದು,ೃತಕ್ಕಾದುದು
ಪವ್ರಹಕ್ಕುಗಳು,ವ್ರಹಕ್ಕುಗಳು
ಪೇಸುಪತ,ೇಸುಪತ
ಪಾರಂಗತ,ಾರಂಗತ
ಪ್ರಥಮಯುಗ,್ರಥಮಯುಗ
ಪಥದ,ಥದ
ಪ್ರಖ್ಯಾತನಾದವನು,್ರಖ್ಯಾತನಾದವನು
ಪರಬೇದ,ರಬೇದ
ಪಕ್ಷ,,ಕ್ಷ,
ಪಾನೀಯ,ಾನೀಯ
ಪ್ರಶ್ನಾರ್ಹ,್ರಶ್ನಾರ್ಹ
ಪೀಠ.ಬಂಗಾರದಿಂದ,ೀಠ.ಬಂಗಾರದಿಂದ
ಪಡಂಗುಗಳು,ಡಂಗುಗಳು
ಪತಾಕೆ,ತಾಕೆ
ಪರವಸ,ರವಸ
ಪ್ರಬಾವಿತನಾಗದ,್ರಬಾವಿತನಾಗದ
ಪ್ರಾರಮ್ಬದಿನ್ದ,್ರಾರಮ್ಬದಿನ್ದ
ಪ್ರಿಯನನ್ನು,್ರಿಯನನ್ನು
ಪಾರುಂಬಳೆ,ಾರುಂಬಳೆ
ಪ್ರದ್ವಾನ,್ರದ್ವಾನ
ಪಳಮಾತು,ಳಮಾತು
ಪ್ರಚಾರದಲ್ಲಿರುವುದು,್ರಚಾರದಲ್ಲಿರುವುದು
ಪುಟವಿನ್ಯಾಸ,ುಟವಿನ್ಯಾಸ
ಪೇಕುಳಿಗೊಳ್,ೇಕುಳಿಗೊಳ್
ಪಾಪಪುಣ್ಯ,ಾಪಪುಣ್ಯ
ಪ್ರಾಮುಕ್ಯತೆ,್ರಾಮುಕ್ಯತೆ
ಪ್ರಸುಖಾತ್ಮ,್ರಸುಖಾತ್ಮ
ಪೆಡಗೆ,ೆಡಗೆ
ಪಾಟದ,ಾಟದ
ಪಠ್ಯೇತರ,ಠ್ಯೇತರ
ಪಞ್ಚಯಜ್ಞ,ಞ್ಚಯಜ್ಞ
ಪೊಗರುಬರಿಗೆ,ೊಗರುಬರಿಗೆ
ಪೊರಕಣ್,ೊರಕಣ್
ಪೂರ್ಣಗೊಳಿಸಲು,ೂರ್ಣಗೊಳಿಸಲು
ಪಣ್ಡಿತರಿನ್ದ,ಣ್ಡಿತರಿನ್ದ
ಪ್ರತಿಸ್ಪರ್ಧಿಯಾಗಿ,್ರತಿಸ್ಪರ್ಧಿಯಾಗಿ
ಪಾಲಿ,ಾಲಿ
ಪೈರಿನಿಂದ,ೈರಿನಿಂದ
ಪುಷ್ಪಶರ,ುಷ್ಪಶರ
ಪುರುಷಾರ್ಹ,ುರುಷಾರ್ಹ
ಪದ್ಮನಾಬನದಿನ,ದ್ಮನಾಬನದಿನ
ಪ್ರಾಮಾಣಿಕವಲ್ಲದ,್ರಾಮಾಣಿಕವಲ್ಲದ
ಪರ್ಯನ್ತದ,ರ್ಯನ್ತದ
ಪಟಲ,ಟಲ
ಪದುಮಗರ್ಭಗಳು,ದುಮಗರ್ಭಗಳು
ಪಾಳೆ,ಾಳೆ
ಪದಕೋಶಮು,ದಕೋಶಮು
ಪ್ರಮುಖವಾಗಿ,್ರಮುಖವಾಗಿ
ಪ್ರಸಂಗತನದ,್ರಸಂಗತನದ
ಪಳ್ಳಿರು,ಳ್ಳಿರು
ಪರವಶ,ರವಶ
ಪಂಚಬುಜ,ಂಚಬುಜ
ಪಿಸುಮಾತು,ಿಸುಮಾತು
ಪೈಸೆ,ೈಸೆ
ಪೋಲೆಂಡ್,ೋಲೆಂಡ್
ಪೊಂಬಿಸಿಲ್,ೊಂಬಿಸಿಲ್
ಪಾಪಮು,ಾಪಮು
ಪಿಮ್ಬಕ್ಕ,ಿಮ್ಬಕ್ಕ
ಪ್ರಸರಿಸುವ,್ರಸರಿಸುವ
ಪ್ರವಹ,್ರವಹ
ಪುಟ್‌ಬಾಲ್‌,ುಟ್‌ಬಾಲ್‌
ಪರದೇಶಗಳು,ರದೇಶಗಳು
ಪರಾಗರೇಣು,ರಾಗರೇಣು
ಪ್ರದರ್ಶಿತವಾಗುವ,್ರದರ್ಶಿತವಾಗುವ
ಪೊರಗೆ,ೊರಗೆ
ಪಾಲುಗೂಡು,ಾಲುಗೂಡು
ಪೇಷಿಸು,ೇಷಿಸು
ಪ್ರಕಟವಾಗುವಿಕೆಗಳು,್ರಕಟವಾಗುವಿಕೆಗಳು
ಪಟಹ,ಟಹ
ಪಾರ್ಷದ,ಾರ್ಷದ
ಪದಾರ್ಥಗಳನ್ನು,ದಾರ್ಥಗಳನ್ನು
ಪತ್ತು,ತ್ತು
ಪರಿಪೂರ್ಣವಾಗು,ರಿಪೂರ್ಣವಾಗು
ಪಯ್ರು,ಯ್ರು
ಪಕ್ಕೆಲುಬುಗಳ,ಕ್ಕೆಲುಬುಗಳ
ಪೊಙ್ಗಡಲು,ೊಙ್ಗಡಲು
ಪುನರಾವರ್ತನ,ುನರಾವರ್ತನ
ಪರೀಕ್ಷಿಸುವ,ರೀಕ್ಷಿಸುವ
ಪ್ರೊಬೇಷನ್ನರು,್ರೊಬೇಷನ್ನರು
ಪ್ರಚ್ಚದ,್ರಚ್ಚದ
ಪುಟ್ಸ,ುಟ್ಸ
ಪುದುಙ್ಗುಳಿಸು,ುದುಙ್ಗುಳಿಸು
ಪಿಂಗಲ,ಿಂಗಲ
ಪಡಿಸಿಕೊಳ್ಳು,ಡಿಸಿಕೊಳ್ಳು
ಪೊಟ್ಟ್ರೆ,ೊಟ್ಟ್ರೆ
ಪರಂದಾಮಗಳು,ರಂದಾಮಗಳು
ಪದನಾಮ,ದನಾಮ
ಪುಣ್ಡಾಟ,ುಣ್ಡಾಟ
ಪಾಪು,ಾಪು
ಪಿತ್ತ,ಿತ್ತ
ಪೆಸರ್,ೆಸರ್
ಪವಿ,ವಿ
ಪಲಪಗಲು,ಲಪಗಲು
ಪಕ್ವವಾಗುವುದು,ಕ್ವವಾಗುವುದು
ಪಂಪಱಿ,ಂಪಱಿ
ಪುಡಿಪುಡಿಯಾಗು,ುಡಿಪುಡಿಯಾಗು
ಪ್ರಸಿದ್ಧಿಗೆ,್ರಸಿದ್ಧಿಗೆ
ಪೂರ್ಣವೇತ್ತೃ,ೂರ್ಣವೇತ್ತೃ
ಪ್ರಖರತೆ,್ರಖರತೆ
ಪಡಿಯಚ್ಚಿನ,ಡಿಯಚ್ಚಿನ
ಪೊಸ,ೊಸ
ಪರಿಕಣಿ,ರಿಕಣಿ
ಪೆರ್ಮಗು,ೆರ್ಮಗು
ಪಾಟಗಳು,ಾಟಗಳು
ಪುರನ್ದ್ರಿ,ುರನ್ದ್ರಿ
ಪರೀಕ್ಷಿಸುವಿಕೆ,ರೀಕ್ಷಿಸುವಿಕೆ
ಪದನಕ,ದನಕ
ಪಾಶ,ಾಶ
ಪೃ,,ೃ,
ಪೊಡಮಟ್ಟು.,ೊಡಮಟ್ಟು.
ಪಂಚಸಂಸ್ಕಾರ,ಂಚಸಂಸ್ಕಾರ
ಪಲ್ಲಟಗೊಳಿಸು,ಲ್ಲಟಗೊಳಿಸು
ಪಂಚಾಯತಿಯ,ಂಚಾಯತಿಯ
ಪ್ರಕಾಶಕ್ಕೆ,್ರಕಾಶಕ್ಕೆ
ಪೂಗಮ್ಪು,ೂಗಮ್ಪು
ಪದಗುಳಿಗಳು,ದಗುಳಿಗಳು
ಪಞ್ಚತೆಗಳು,ಞ್ಚತೆಗಳು
ಪ್ರಸನ್ನವದನೆ,್ರಸನ್ನವದನೆ
ಪಿರಿಕಟ್ಟು,ಿರಿಕಟ್ಟು
ಪದ್ಧತಿಯ,ದ್ಧತಿಯ
ಪ್ರತ್ಯೆಕವಾಗಿ,್ರತ್ಯೆಕವಾಗಿ
ಪಾರ್ಸಿ,ಾರ್ಸಿ
ಪರಲೋಕ,ರಲೋಕ
ಪೊರೆಯಾಳ್,ೊರೆಯಾಳ್
ಪಾಲುಗಾರಿಕೆಗಳು,ಾಲುಗಾರಿಕೆಗಳು
ಪಲಬಗೆ,ಲಬಗೆ
ಪೊಸಬಿಸಿಲ್,ೊಸಬಿಸಿಲ್
ಪನ್ಥಪಾಡು,ನ್ಥಪಾಡು
ಪೊರಮಾರುಗಳು,ೊರಮಾರುಗಳು
ಪೋಲಿಸ್,ೋಲಿಸ್
ಪಾರುಪತ್ಯಗಾರ,ಾರುಪತ್ಯಗಾರ
ಪೂರೈಸಲಾಗದ,ೂರೈಸಲಾಗದ
ಪ್ರಬಾಮಣ್ಡಲ,್ರಬಾಮಣ್ಡಲ
ಪಂಡಿತಿಕೆ,ಂಡಿತಿಕೆ
ಪೊಱಂಡು,ೊಱಂಡು
ಪಾಳಿಡು,ಾಳಿಡು
ಪಾಳೆನಿಸು,ಾಳೆನಿಸು
ಪೊಸಕಂಪುಗಳು,ೊಸಕಂಪುಗಳು
ಪೌಷ್ಟಿಕಾಹಾರ,ೌಷ್ಟಿಕಾಹಾರ
ಪಾಠಾನ್ತರ,ಾಠಾನ್ತರ
ಪಾರುಮ್ಬಳೆ,ಾರುಮ್ಬಳೆ
ಪರಿಣಾಮಗಳ,ರಿಣಾಮಗಳ
ಪಾಲಿಷ್,ಾಲಿಷ್
ಪರ್ಯಾಣ,ರ್ಯಾಣ
ಪೂಲು,ೂಲು
ಪ್ರತಿಕ್ರಯಿಸುವ,್ರತಿಕ್ರಯಿಸುವ
ಪ್ರಹಸ್ತ,್ರಹಸ್ತ
ಪೂರ್ವಕ್ಕೂ,,ೂರ್ವಕ್ಕೂ,
ಪ್ರಾರ್ಥಿಸುವವನು,್ರಾರ್ಥಿಸುವವನು
ಪ್ರಾಂಸ್,್ರಾಂಸ್
ಪ್ರತಿಷ್ಟೆಗೊಳಿಸು,್ರತಿಷ್ಟೆಗೊಳಿಸು
ಪೀಡ,ೀಡ
ಪರಗ್ವೆ,ರಗ್ವೆ
ಪ್ರಸ್ತುತವೆನಿಸು,್ರಸ್ತುತವೆನಿಸು
ಪೊರೆಕೆ,ೊರೆಕೆ
ಪಾತ್ರೆಯ,ಾತ್ರೆಯ
ಪರಮಪ್ರಧಾನ,ರಮಪ್ರಧಾನ
ಪವಣಿಗೆ,ವಣಿಗೆ
ಪ.೨೯,.೨೯
ಪತಿಕ,ತಿಕ
ಪಿನ್ನಿನಂತಹ,ಿನ್ನಿನಂತಹ
ಪ್ರಭಾವಶೂನ್ಯ,್ರಭಾವಶೂನ್ಯ
ಪ್ರಭಾವಿಸಬಲ್ಲ,್ರಭಾವಿಸಬಲ್ಲ
ಪಂದ್ಯದ,ಂದ್ಯದ
ಪೂರ್ಣಾದಿಕಾರಿ,ೂರ್ಣಾದಿಕಾರಿ
ಪುಣ್ಡಾಟಗಳು,ುಣ್ಡಾಟಗಳು
ಪಗಡೆ,,ಗಡೆ,
ಪಣಿದ,ಣಿದ
ಪಂಕ್ತಿಯಲ್ಲಿ,ಂಕ್ತಿಯಲ್ಲಿ
ಪುರರಿಪು,ುರರಿಪು
ಪಕ್ಕೆವೆಟ್ಟು,ಕ್ಕೆವೆಟ್ಟು
ಪರಾಙ್ಮುಕ,ರಾಙ್ಮುಕ
ಪೆರ್ವಡುಕೆ,ೆರ್ವಡುಕೆ
ಪತಾಕಗಳು,ತಾಕಗಳು
ಪ್ರತ್ಯಕ್ಷಬಾವ,್ರತ್ಯಕ್ಷಬಾವ
ಪ್ರಳಯದಿನಗಳು,್ರಳಯದಿನಗಳು
ಪೋಗು,ೋಗು
ಪರಿಜಿನಲ್ಲಿ,ರಿಜಿನಲ್ಲಿ
ಪಾರಙ್ಗತ,ಾರಙ್ಗತ
ಪ್ರೇರಣೆಯಾಗು,್ರೇರಣೆಯಾಗು
ಪರಿಷ್ಕ,ರಿಷ್ಕ
ಪಾಂಡುಪಕ್ಷ,ಾಂಡುಪಕ್ಷ
ಪರೀಕ್ಷಾರ್ಥಕ,ರೀಕ್ಷಾರ್ಥಕ
ಪಾಸುಂಬಲೆ,ಾಸುಂಬಲೆ
ಪರಡೆ,ರಡೆ
ಪೂರ್ವಸಞ್ಚಿತವಾದುದು,ೂರ್ವಸಞ್ಚಿತವಾದುದು
ಪೋರಟೆಗಳು,ೋರಟೆಗಳು
ಪಾಯಿದೆಯ,ಾಯಿದೆಯ
ಪೆಂಗೂಸು,ೆಂಗೂಸು
ಪ್ರತಮಾಙ್ಗ,್ರತಮಾಙ್ಗ
ಪ್ರಾಮುಖ್ಯದಲ್ಲಿ,್ರಾಮುಖ್ಯದಲ್ಲಿ
ಪುನರಾಶ್ವಾಸನೆ,ುನರಾಶ್ವಾಸನೆ
ಪೂರ್ಣದೋಷಿ,ೂರ್ಣದೋಷಿ
ಪರನುಡಿ,ರನುಡಿ
ಪುದುಮನ್ದಿ,ುದುಮನ್ದಿ
ಪುಲಕ,ುಲಕ
ಪೂರ್ವಸಿದ್ದತೆ,ೂರ್ವಸಿದ್ದತೆ
ಪ್ಪು,್ಪು
ಪಞ್ಚಮವೇದಗಳು,ಞ್ಚಮವೇದಗಳು
ಪಕ್ಕರಕ್ಷೆ,ಕ್ಕರಕ್ಷೆ
ಪುಕ್ಕಟೆಯಾಗಿ,ುಕ್ಕಟೆಯಾಗಿ
ಪುರಾಣಗಳಲ್ಲೊಂದು,ುರಾಣಗಳಲ್ಲೊಂದು
ಪೊತ್ತರೆ,ೊತ್ತರೆ
ಪುಣ್ಣುಮೆ,ುಣ್ಣುಮೆ
ಪುನರ್ವಿನಿಯೋಗಗಳು,ುನರ್ವಿನಿಯೋಗಗಳು
ಪಡಲಿಸು,ಡಲಿಸು
ಪುರೀಷ,ುರೀಷ
ಪುನರ್ಮೌಲ್ಯೀಕರಣ,ುನರ್ಮೌಲ್ಯೀಕರಣ
ಪದಾರ್ಥ,ದಾರ್ಥ
ಪಾರ್ಥಿವಾನ್ತಕ,ಾರ್ಥಿವಾನ್ತಕ
ಪ್ರಫುಲ್ಲವಾದ,್ರಫುಲ್ಲವಾದ
ಪಡಸಾಲೆಗಳು,ಡಸಾಲೆಗಳು
ಪುಲ್ಗುಡಿಸಲ್,ುಲ್ಗುಡಿಸಲ್
ಪಿಸುಗುಟ್ಟುಗಳು,ಿಸುಗುಟ್ಟುಗಳು
ಪಡಿತೂಕ,ಡಿತೂಕ
ಪೇಸುಪಥ,ೇಸುಪಥ
ಪುಂಬುಚ್ಚ,ುಂಬುಚ್ಚ
ಪೊಂಗಪ್ಪ,ೊಂಗಪ್ಪ
ಪುಳ್ಳೆ,ುಳ್ಳೆ
ಪಿತೃಲೋಕ,ಿತೃಲೋಕ
ಪ್ರಯಾಣಮಾಡು,್ರಯಾಣಮಾಡು
ಪುಡಿಮಾಡಿದ,ುಡಿಮಾಡಿದ
ಪಗದಿಗಳು,ಗದಿಗಳು
ಪೂರಯ್ಕೆಯ,ೂರಯ್ಕೆಯ
ಪೇರೋಣಿಗಳು,ೇರೋಣಿಗಳು
ಪೞಮೆ,ೞಮೆ
ಪಂಚಾಗ್ನಿಗಳು,ಂಚಾಗ್ನಿಗಳು
ಪೆರತೆಗೆ,ೆರತೆಗೆ
ಪ್ರಾರಂಬದಿಂದ,್ರಾರಂಬದಿಂದ
ಪಟ್ಟೋೞಿ,ಟ್ಟೋೞಿ
ಪಳ್ಳನೆ,ಳ್ಳನೆ
ಪಕ್ಷಾನ್ತರಿಸು,ಕ್ಷಾನ್ತರಿಸು
ಪಾಳತಿಗಾರ,ಾಳತಿಗಾರ
ಪ್ರೀತಿವಿಶ್ವಾಸ,್ರೀತಿವಿಶ್ವಾಸ
ಪ್ರಮಾಣಕ್ಕಿಂತ,್ರಮಾಣಕ್ಕಿಂತ
ಪ್ರಭ,್ರಭ
ಪಿಙ್ಗಿಸು,ಿಙ್ಗಿಸು
ಪಂಚವರ್ಷಗಳು,ಂಚವರ್ಷಗಳು
ಪರಮಶಾಚಿತಿ,ರಮಶಾಚಿತಿ
ಪದಕ್ಕೆ,ದಕ್ಕೆ
ಪಞ್ಚಪ್ರಾಣ,ಞ್ಚಪ್ರಾಣ
ಪ್ರಸಿದ್ಧಗೊಳಿಸು,್ರಸಿದ್ಧಗೊಳಿಸು
ಪಸಲು,ಸಲು
ಪುನರಾವರ್ತಿಸುವಂತೆ,ುನರಾವರ್ತಿಸುವಂತೆ
ಪೂರ್ವನಿಶ್ಚಯ,ೂರ್ವನಿಶ್ಚಯ
ಪವನದಲದಿ,ವನದಲದಿ
ಪ್ರಥಮ,್ರಥಮ
ಪಾಪಪಲ,ಾಪಪಲ
ಪಾರ್ತಿವಾಂತಕ,ಾರ್ತಿವಾಂತಕ
ಪರಾಙ್ಮುಖವಾಗು,ರಾಙ್ಮುಖವಾಗು
ಪಂಪಭಾರತ,ಂಪಭಾರತ
ಪಟ್ಟವಳಿ,ಟ್ಟವಳಿ
ಪೂಣಿಗತನ,ೂಣಿಗತನ
ಪೇನುಗಳು,ೇನುಗಳು
ಪೂರ್ಣಮಾಡು,ೂರ್ಣಮಾಡು
ಪಡಿಸಣ,ಡಿಸಣ
ಪಿಙ್ಕುಳಿ,ಿಙ್ಕುಳಿ
ಪೂರೈಸುವಿಕೆ,ೂರೈಸುವಿಕೆ
ಪೋಲಕ,ೋಲಕ
ಪಾಂಡವಪ್ರಿಯ,ಾಂಡವಪ್ರಿಯ
ಪಿಪಾಸೆ,ಿಪಾಸೆ
ಪುಷ್ಟ,ುಷ್ಟ
ಪೊಲಿ,ೊಲಿ
ಪ್ರಾಮಾಣ್ಯ,್ರಾಮಾಣ್ಯ
ಪೊರೆಹುಳು,ೊರೆಹುಳು
ಪರಾಧೀನತೆ,ರಾಧೀನತೆ
ಪಿಸುಮಾತನ್ನು,ಿಸುಮಾತನ್ನು
ಪದವು,ದವು
ಪಡೆಯಲಾಗದ,ಡೆಯಲಾಗದ
ಪ್ರತೀಪವಾದ,್ರತೀಪವಾದ
ಪದ್ಮಸಮ್ಬವಪಿತ,ದ್ಮಸಮ್ಬವಪಿತ
ಪಡೆಯಬಹುದು.,ಡೆಯಬಹುದು.
ಪವಿತ್ರವನ,ವಿತ್ರವನ
ಪರೀಕ್ಷಿಸುವಂಥದು,ರೀಕ್ಷಿಸುವಂಥದು
ಪಲ್ಕಡಿ,ಲ್ಕಡಿ
ಪಿತ್ತರಸ,ಿತ್ತರಸ
ಪಂಡಿತರು,ಂಡಿತರು
ಪ್ರಾಣಿಸಂಗ್ರಹಾಲಯ,್ರಾಣಿಸಂಗ್ರಹಾಲಯ
ಪುದಿದು,ುದಿದು
ಪ್ರಚಾರವನ್ನುಂಟುಮಾಡು,್ರಚಾರವನ್ನುಂಟುಮಾಡು
ಪಸುರ್,ಸುರ್
ಪ್ರಾಣಸಙ್ಕಟ,್ರಾಣಸಙ್ಕಟ
ಪಲ,ಲ
ಪ್ರೌಢನಲ್ಲದ,್ರೌಢನಲ್ಲದ
ಪೇರೊಡಲು,ೇರೊಡಲು
